 	0x09	# <doublebytes>
 	0x10	# <doublebytes>
 	0x11	# <doublebytes>
 	0x12	# <doublebytes>
 	0x13	# <doublebytes>
📦	0x110c	U+1F4E6	# PACKAGE
📨	0x110d	U+1F4E8	# INCOMING ENVELOPE
📩	0x110e	U+1F4E9	# ENVELOPE WITH DOWNWARDS ARROW ABOVE
📫	0x110f	U+1F4EB	# CLOSED MAILBOX WITH RAISED FLAG
📬	0x1110	U+1F4EC	# OPEN MAILBOX WITH RAISED FLAG
📮	0x1111	U+1F4EE	# POSTBOX
📯	0x1112	U+1F4EF	# POSTAL HORN
📰	0x1113	U+1F4F0	# NEWSPAPER
📱	0x1114	U+1F4F1	# MOBILE PHONE
📳	0x1115	U+1F4F3	# VIBRATION MODE
📴	0x1116	U+1F4F4	# MOBILE PHONE OFF
📵	0x1117	U+1F4F5	# NO MOBILE PHONES
📶	0x1118	U+1F4F6	# ANTENNA WITH BARS
📷	0x1119	U+1F4F7	# CAMERA
📸	0x111a	U+1F4F8	# CAMERA WITH FLASH
📹	0x111b	U+1F4F9	# VIDEO CAMERA
📺	0x111c	U+1F4FA	# TELEVISION
📻	0x111d	U+1F4FB	# RADIO
📼	0x111e	U+1F4FC	# VIDEOCASSETTE
📽	0x111f	U+1F4FD	# FILM PROJECTOR
📿	0x1120	U+1F4FF	# PRAYER BEADS
🔇	0x1121	U+1F507	# SPEAKER WITH CANCELLATION STROKE
🔈	0x1122	U+1F508	# SPEAKER
🔉	0x1123	U+1F509	# SPEAKER WITH ONE SOUND WAVE
🔊	0x1124	U+1F50A	# SPEAKER WITH THREE SOUND WAVES
🔋	0x1125	U+1F50B	# BATTERY
🔌	0x1126	U+1F50C	# ELECTRIC PLUG
🔏	0x1127	U+1F50F	# LOCK WITH INK PEN
🔐	0x1128	U+1F510	# CLOSED LOCK WITH KEY
🔑	0x1129	U+1F511	# KEY
🔒	0x112a	U+1F512	# LOCK
🔓	0x112b	U+1F513	# OPEN LOCK
🔔	0x112c	U+1F514	# BELL
🔕	0x112d	U+1F515	# BELL WITH CANCELLATION STROKE
🔘	0x112e	U+1F518	# RADIO BUTTON
🔝	0x112f	U+1F51D	# TOP WITH UPWARDS ARROW ABOVE
🔟	0x1130	U+1F51F	# KEYCAP TEN
🔥	0x1131	U+1F525	# FIRE
🔦	0x1132	U+1F526	# ELECTRIC TORCH
🔧	0x1133	U+1F527	# WRENCH
🔨	0x1134	U+1F528	# HAMMER
🔩	0x1135	U+1F529	# NUT AND BOLT
🔪	0x1136	U+1F52A	# HOCHO
🔫	0x1137	U+1F52B	# PISTOL
🔬	0x1138	U+1F52C	# MICROSCOPE
🔭	0x1139	U+1F52D	# TELESCOPE
🔮	0x113a	U+1F52E	# CRYSTAL BALL
🔱	0x113b	U+1F531	# TRIDENT EMBLEM
🔶	0x113c	U+1F536	# LARGE ORANGE DIAMOND
🔷	0x113d	U+1F537	# LARGE BLUE DIAMOND
🔸	0x113e	U+1F538	# SMALL ORANGE DIAMOND
🔹	0x113f	U+1F539	# SMALL BLUE DIAMOND
🕊	0x1140	U+1F54A	# DOVE OF PEACE
🕋	0x1141	U+1F54B	# KAABA
🕌	0x1142	U+1F54C	# MOSQUE
🕍	0x1143	U+1F54D	# SYNAGOGUE
🕎	0x1144	U+1F54E	# MENORAH WITH NINE BRANCHES
🕯	0x1145	U+1F56F	# CANDLE
🕳	0x1146	U+1F573	# HOLE
🕴	0x1147	U+1F574	# MAN IN BUSINESS SUIT LEVITATING
🕵	0x1148	U+1F575	# SLEUTH OR SPY
🕶	0x1149	U+1F576	# DARK SUNGLASSES
🕷	0x114a	U+1F577	# SPIDER
🕸	0x114b	U+1F578	# SPIDER WEB
🕹	0x114c	U+1F579	# JOYSTICK
🕺	0x114d	U+1F57A	# MAN DANCING
🖇	0x114e	U+1F587	# LINKED PAPERCLIPS
🖤	0x114f	U+1F5A4	# BLACK HEART
🖥	0x1150	U+1F5A5	# DESKTOP COMPUTER
🖨	0x1151	U+1F5A8	# PRINTER
🖱	0x1152	U+1F5B1	# THREE BUTTON MOUSE
🖲	0x1153	U+1F5B2	# TRACKBALL
🖼	0x1154	U+1F5BC	# FRAME WITH PICTURE
🗂	0x1155	U+1F5C2	# CARD INDEX DIVIDERS
🗃	0x1156	U+1F5C3	# CARD FILE BOX
🗄	0x1157	U+1F5C4	# FILE CABINET
🗑	0x1158	U+1F5D1	# WASTEBASKET
🗒	0x1159	U+1F5D2	# SPIRAL NOTE PAD
🗓	0x115a	U+1F5D3	# SPIRAL CALENDAR PAD
🗜	0x115b	U+1F5DC	# COMPRESSION
🗝	0x115c	U+1F5DD	# OLD KEY
🗞	0x115d	U+1F5DE	# ROLLED-UP NEWSPAPER
🗡	0x115e	U+1F5E1	# DAGGER KNIFE
🗣	0x115f	U+1F5E3	# SPEAKING HEAD IN SILHOUETTE
🗳	0x1160	U+1F5F3	# BALLOT BOX WITH BALLOT
🗺	0x1161	U+1F5FA	# WORLD MAP
🗻	0x1162	U+1F5FB	# MOUNT FUJI
🗼	0x1163	U+1F5FC	# TOKYO TOWER
🗽	0x1164	U+1F5FD	# STATUE OF LIBERTY
🗾	0x1165	U+1F5FE	# SILHOUETTE OF JAPAN
🗿	0x1166	U+1F5FF	# MOYAI
😀	0x1167	U+1F600	# GRINNING FACE
😉	0x1168	U+1F609	# WINKING FACE
😌	0x1169	U+1F60C	# RELIEVED FACE
😏	0x116a	U+1F60F	# SMIRKING FACE
😐	0x116b	U+1F610	# NEUTRAL FACE
😑	0x116c	U+1F611	# EXPRESSIONLESS FACE
😒	0x116d	U+1F612	# UNAMUSED FACE
😔	0x116e	U+1F614	# PENSIVE FACE
😕	0x116f	U+1F615	# CONFUSED FACE
😖	0x1170	U+1F616	# CONFOUNDED FACE
😗	0x1171	U+1F617	# KISSING FACE
😟	0x1172	U+1F61F	# WORRIED FACE
😠	0x1173	U+1F620	# ANGRY FACE
😡	0x1174	U+1F621	# POUTING FACE
😢	0x1175	U+1F622	# CRYING FACE
😣	0x1176	U+1F623	# PERSEVERING FACE
😧	0x1177	U+1F627	# ANGUISHED FACE
😨	0x1178	U+1F628	# FEARFUL FACE
😩	0x1179	U+1F629	# WEARY FACE
😪	0x117a	U+1F62A	# SLEEPY FACE
😫	0x117b	U+1F62B	# TIRED FACE
😬	0x117c	U+1F62C	# GRIMACING FACE
😭	0x117d	U+1F62D	# LOUDLY CRYING FACE
😯	0x117e	U+1F62F	# HUSHED FACE
😲	0x117f	U+1F632	# ASTONISHED FACE
😳	0x1180	U+1F633	# FLUSHED FACE
😴	0x1181	U+1F634	# SLEEPING FACE
😵	0x1182	U+1F635	# DIZZY FACE
😾	0x1183	U+1F63E	# POUTING CAT FACE
😿	0x1184	U+1F63F	# CRYING CAT FACE
🙀	0x1185	U+1F640	# WEARY CAT FACE
🙁	0x1186	U+1F641	# SLIGHTLY FROWNING FACE
🙂	0x1187	U+1F642	# SLIGHTLY SMILING FACE
🙃	0x1188	U+1F643	# UPSIDE-DOWN FACE
🙇	0x1189	U+1F647	# PERSON BOWING DEEPLY
🙈	0x118a	U+1F648	# SEE-NO-EVIL MONKEY
🙉	0x118b	U+1F649	# HEAR-NO-EVIL MONKEY
🙊	0x118c	U+1F64A	# SPEAK-NO-EVIL MONKEY
🙍	0x118d	U+1F64D	# PERSON FROWNING
🙎	0x118e	U+1F64E	# PERSON WITH POUTING FACE
🚀	0x118f	U+1F680	# ROCKET
🚁	0x1190	U+1F681	# HELICOPTER
🚂	0x1191	U+1F682	# STEAM LOCOMOTIVE
🚃	0x1192	U+1F683	# RAILWAY CAR
🚄	0x1193	U+1F684	# HIGH-SPEED TRAIN
🚅	0x1194	U+1F685	# HIGH-SPEED TRAIN WITH BULLET NOSE
🚆	0x1195	U+1F686	# TRAIN
🚇	0x1196	U+1F687	# METRO
🚈	0x1197	U+1F688	# LIGHT RAIL
🚉	0x1198	U+1F689	# STATION
🚊	0x1199	U+1F68A	# TRAM
🚋	0x119a	U+1F68B	# TRAM CAR
🚌	0x119b	U+1F68C	# BUS
🚍	0x119c	U+1F68D	# ONCOMING BUS
🚎	0x119d	U+1F68E	# TROLLEYBUS
🚏	0x119e	U+1F68F	# BUS STOP
🚐	0x119f	U+1F690	# MINIBUS
🚑	0x11a0	U+1F691	# AMBULANCE
🚒	0x11a1	U+1F692	# FIRE ENGINE
🚓	0x11a2	U+1F693	# POLICE CAR
🚔	0x11a3	U+1F694	# ONCOMING POLICE CAR
🚕	0x11a4	U+1F695	# TAXI
🚖	0x11a5	U+1F696	# ONCOMING TAXI
🚗	0x11a6	U+1F697	# AUTOMOBILE
🚘	0x11a7	U+1F698	# ONCOMING AUTOMOBILE
🚙	0x11a8	U+1F699	# RECREATIONAL VEHICLE
🚚	0x11a9	U+1F69A	# DELIVERY TRUCK
🚛	0x11aa	U+1F69B	# ARTICULATED LORRY
🚜	0x11ab	U+1F69C	# TRACTOR
🚝	0x11ac	U+1F69D	# MONORAIL
🚞	0x11ad	U+1F69E	# MOUNTAIN RAILWAY
🚟	0x11ae	U+1F69F	# SUSPENSION RAILWAY
🚠	0x11af	U+1F6A0	# MOUNTAIN CABLEWAY
🚡	0x11b0	U+1F6A1	# AERIAL TRAMWAY
🚢	0x11b1	U+1F6A2	# SHIP
🚣	0x11b2	U+1F6A3	# ROWBOAT
🚤	0x11b3	U+1F6A4	# SPEEDBOAT
🚥	0x11b4	U+1F6A5	# HORIZONTAL TRAFFIC LIGHT
🚦	0x11b5	U+1F6A6	# VERTICAL TRAFFIC LIGHT
🚨	0x11b6	U+1F6A8	# POLICE CARS REVOLVING LIGHT
🚩	0x11b7	U+1F6A9	# TRIANGULAR FLAG ON POST
🚪	0x11b8	U+1F6AA	# DOOR
🚲	0x11b9	U+1F6B2	# BICYCLE
🚳	0x11ba	U+1F6B3	# NO BICYCLES
🚴	0x11bb	U+1F6B4	# BICYCLIST
🚵	0x11bc	U+1F6B5	# MOUNTAIN BICYCLIST
🚶	0x11bd	U+1F6B6	# PEDESTRIAN
🚷	0x11be	U+1F6B7	# NO PEDESTRIANS
🚸	0x11bf	U+1F6B8	# CHILDREN CROSSING
🚻	0x11c0	U+1F6BB	# RESTROOM
🚽	0x11c1	U+1F6BD	# TOILET
🚾	0x11c2	U+1F6BE	# WATER CLOSET
🚿	0x11c3	U+1F6BF	# SHOWER
🛀	0x11c4	U+1F6C0	# BATH
🛁	0x11c5	U+1F6C1	# BATHTUB
🛂	0x11c6	U+1F6C2	# PASSPORT CONTROL
🛃	0x11c7	U+1F6C3	# CUSTOMS
🛄	0x11c8	U+1F6C4	# BAGGAGE CLAIM
🛋	0x11c9	U+1F6CB	# COUCH AND LAMP
🛌	0x11ca	U+1F6CC	# SLEEPING ACCOMMODATION
🛍	0x11cb	U+1F6CD	# SHOPPING BAGS
🛎	0x11cc	U+1F6CE	# BELLHOP BELL
🛏	0x11cd	U+1F6CF	# BED
🛐	0x11ce	U+1F6D0	# PLACE OF WORSHIP
🛒	0x11cf	U+1F6D2	# SHOPPING TROLLEY
🛕	0x11d0	U+1F6D5	# HINDU TEMPLE
🛖	0x11d1	U+1F6D6	# HUT
🛗	0x11d2	U+1F6D7	# ELEVATOR
🛜	0x11d3	U+1F6DC	# WIRELESS
🛝	0x11d4	U+1F6DD	# PLAYGROUND SLIDE
🛞	0x11d5	U+1F6DE	# WHEEL
🛟	0x11d6	U+1F6DF	# RING BUOY
🛠	0x11d7	U+1F6E0	# HAMMER AND WRENCH
🛡	0x11d8	U+1F6E1	# SHIELD
🛢	0x11d9	U+1F6E2	# OIL DRUM
🛣	0x11da	U+1F6E3	# MOTORWAY
🛤	0x11db	U+1F6E4	# RAILWAY TRACK
🛥	0x11dc	U+1F6E5	# MOTOR BOAT
🛩	0x11dd	U+1F6E9	# SMALL AIRPLANE
🛫	0x11de	U+1F6EB	# AIRPLANE DEPARTURE
🛬	0x11df	U+1F6EC	# AIRPLANE ARRIVING
🛰	0x11e0	U+1F6F0	# SATELLITE
🛳	0x11e1	U+1F6F3	# PASSENGER SHIP
🛴	0x11e2	U+1F6F4	# SCOOTER
🛵	0x11e3	U+1F6F5	# MOTOR SCOOTER
🛶	0x11e4	U+1F6F6	# CANOE
🛷	0x11e5	U+1F6F7	# SLED
🛸	0x11e6	U+1F6F8	# FLYING SAUCER
🛹	0x11e7	U+1F6F9	# SKATEBOARD
🛺	0x11e8	U+1F6FA	# AUTO RICKSHAW
🛻	0x11e9	U+1F6FB	# PICKUP TRUCK
🛼	0x11ea	U+1F6FC	# ROLLER SKATE
🤌	0x11eb	U+1F90C	# PINCHED FINGERS
🤍	0x11ec	U+1F90D	# WHITE HEART
🤎	0x11ed	U+1F90E	# BROWN HEART
🤐	0x11ee	U+1F910	# ZIPPER-MOUTH FACE
🤑	0x11ef	U+1F911	# MONEY-MOUTH FACE
🤓	0x11f0	U+1F913	# NERD FACE
🤔	0x11f1	U+1F914	# THINKING FACE
🤖	0x11f2	U+1F916	# ROBOT FACE
🤗	0x11f3	U+1F917	# HUGGING FACE
🤡	0x11f4	U+1F921	# CLOWN FACE
🤢	0x11f5	U+1F922	# NAUSEATED FACE
🤣	0x11f6	U+1F923	# ROLLING ON THE FLOOR LAUGHING
🤤	0x11f7	U+1F924	# DROOLING FACE
🤥	0x11f8	U+1F925	# LYING FACE
🤧	0x11f9	U+1F927	# SNEEZING FACE
🤰	0x11fa	U+1F930	# PREGNANT WOMAN
🤱	0x11fb	U+1F931	# BREAST-FEEDING
🤲	0x11fc	U+1F932	# PALMS UP TOGETHER
🤳	0x11fd	U+1F933	# SELFIE
🤴	0x11fe	U+1F934	# PRINCE
🤵	0x11ff	U+1F935	# MAN IN TUXEDO
🤶	0x1201	U+1F936	# MOTHER CHRISTMAS
🤷	0x1202	U+1F937	# SHRUG
🤸	0x1203	U+1F938	# PERSON DOING CARTWHEEL
🤹	0x1204	U+1F939	# JUGGLING
🤺	0x1205	U+1F93A	# FENCER
🤼	0x1206	U+1F93C	# WRESTLERS
🤽	0x1207	U+1F93D	# WATER POLO
🤿	0x1208	U+1F93F	# DIVING MASK
🥁	0x1209	U+1F941	# DRUM WITH DRUMSTICKS
🥂	0x120a	U+1F942	# CLINKING GLASSES
🥃	0x120b	U+1F943	# TUMBLER GLASS
🥄	0x120c	U+1F944	# SPOON
🥅	0x120d	U+1F945	# GOAL NET
🥇	0x120e	U+1F947	# FIRST PLACE MEDAL
🥈	0x120f	U+1F948	# SECOND PLACE MEDAL
🥉	0x1210	U+1F949	# THIRD PLACE MEDAL
🥊	0x1211	U+1F94A	# BOXING GLOVE
🥋	0x1212	U+1F94B	# MARTIAL ARTS UNIFORM
🥌	0x1213	U+1F94C	# CURLING STONE
🥍	0x1214	U+1F94D	# LACROSSE STICK AND BALL
🥎	0x1215	U+1F94E	# SOFTBALL
🥏	0x1216	U+1F94F	# FLYING DISC
🥐	0x1217	U+1F950	# CROISSANT
🥑	0x1218	U+1F951	# AVOCADO
🥒	0x1219	U+1F952	# CUCUMBER
🥓	0x121a	U+1F953	# BACON
🥔	0x121b	U+1F954	# POTATO
🥕	0x121c	U+1F955	# CARROT
🥖	0x121d	U+1F956	# BAGUETTE BREAD
🥗	0x121e	U+1F957	# GREEN SALAD
🥘	0x121f	U+1F958	# SHALLOW PAN OF FOOD
🥙	0x1220	U+1F959	# STUFFED FLATBREAD
🥚	0x1221	U+1F95A	# EGG
🥛	0x1222	U+1F95B	# GLASS OF MILK
🥜	0x1223	U+1F95C	# PEANUTS
🥝	0x1224	U+1F95D	# KIWIFRUIT
🥞	0x1225	U+1F95E	# PANCAKES
🥟	0x1226	U+1F95F	# DUMPLING
🥠	0x1227	U+1F960	# FORTUNE COOKIE
🥡	0x1228	U+1F961	# TAKEOUT BOX
🥢	0x1229	U+1F962	# CHOPSTICKS
🥣	0x122a	U+1F963	# BOWL WITH SPOON
🥤	0x122b	U+1F964	# CUP WITH STRAW
🥥	0x122c	U+1F965	# COCONUT
🥦	0x122d	U+1F966	# BROCCOLI
🥧	0x122e	U+1F967	# PIE
🥨	0x122f	U+1F968	# PRETZEL
🥩	0x1230	U+1F969	# CUT OF MEAT
🥪	0x1231	U+1F96A	# SANDWICH
🥫	0x1232	U+1F96B	# CANNED FOOD
🥬	0x1233	U+1F96C	# LEAFY GREEN
🥭	0x1234	U+1F96D	# MANGO
🥮	0x1235	U+1F96E	# MOON CAKE
🥯	0x1236	U+1F96F	# BAGEL
🥱	0x1237	U+1F971	# YAWNING FACE
🥵	0x1238	U+1F975	# OVERHEATED FACE
🥶	0x1239	U+1F976	# FREEZING FACE
🥷	0x123a	U+1F977	# NINJA
🥸	0x123b	U+1F978	# DISGUISED FACE
🥻	0x123c	U+1F97B	# SARI
🥼	0x123d	U+1F97C	# LAB COAT
🥽	0x123e	U+1F97D	# GOGGLES
🥾	0x123f	U+1F97E	# HIKING BOOT
🥿	0x1240	U+1F97F	# FLAT SHOE
🦀	0x1241	U+1F980	# CRAB
🦁	0x1242	U+1F981	# LION FACE
🦂	0x1243	U+1F982	# SCORPION
🦃	0x1244	U+1F983	# TURKEY
🦄	0x1245	U+1F984	# UNICORN FACE
🦅	0x1246	U+1F985	# EAGLE
🦆	0x1247	U+1F986	# DUCK
🦇	0x1248	U+1F987	# BAT
🦈	0x1249	U+1F988	# SHARK
🦉	0x124a	U+1F989	# OWL
🦊	0x124b	U+1F98A	# FOX FACE
🦋	0x124c	U+1F98B	# BUTTERFLY
🦌	0x124d	U+1F98C	# DEER
🦍	0x124e	U+1F98D	# GORILLA
🦎	0x124f	U+1F98E	# LIZARD
🦏	0x1250	U+1F98F	# RHINOCEROS
🦐	0x1251	U+1F990	# SHRIMP
🦑	0x1252	U+1F991	# SQUID
🦒	0x1253	U+1F992	# GIRAFFE FACE
🦓	0x1254	U+1F993	# ZEBRA FACE
🦔	0x1255	U+1F994	# HEDGEHOG
🦕	0x1256	U+1F995	# SAUROPOD
🦖	0x1257	U+1F996	# T-REX
🦗	0x1258	U+1F997	# CRICKET
🦘	0x1259	U+1F998	# KANGAROO
🦙	0x125a	U+1F999	# LLAMA
🦚	0x125b	U+1F99A	# PEACOCK
🦛	0x125c	U+1F99B	# HIPPOPOTAMUS
🦜	0x125d	U+1F99C	# PARROT
🦝	0x125e	U+1F99D	# RACCOON
🦞	0x125f	U+1F99E	# LOBSTER
🦟	0x1260	U+1F99F	# MOSQUITO
🦠	0x1261	U+1F9A0	# MICROBE
🦡	0x1262	U+1F9A1	# BADGER
🦢	0x1263	U+1F9A2	# SWAN
🦣	0x1264	U+1F9A3	# MAMMOTH
🦤	0x1265	U+1F9A4	# DODO
🦥	0x1266	U+1F9A5	# SLOTH
🦦	0x1267	U+1F9A6	# OTTER
🦧	0x1268	U+1F9A7	# ORANGUTAN
🦨	0x1269	U+1F9A8	# SKUNK
🦩	0x126a	U+1F9A9	# FLAMINGO
🦪	0x126b	U+1F9AA	# OYSTER
🦫	0x126c	U+1F9AB	# BEAVER
🦬	0x126d	U+1F9AC	# BISON
🦭	0x126e	U+1F9AD	# SEAL
🦮	0x126f	U+1F9AE	# GUIDE DOG
🦯	0x1270	U+1F9AF	# PROBING CANE
🦴	0x1271	U+1F9B4	# BONE
🦵	0x1272	U+1F9B5	# LEG
🦶	0x1273	U+1F9B6	# FOOT
🦷	0x1274	U+1F9B7	# TOOTH
🦸	0x1275	U+1F9B8	# SUPERHERO
🦹	0x1276	U+1F9B9	# SUPERVILLAIN
🦺	0x1277	U+1F9BA	# SAFETY VEST
🦻	0x1278	U+1F9BB	# EAR WITH HEARING AID
🦼	0x1279	U+1F9BC	# MOTORIZED WHEELCHAIR
🦽	0x127a	U+1F9BD	# MANUAL WHEELCHAIR
🦾	0x127b	U+1F9BE	# MECHANICAL ARM
🦿	0x127c	U+1F9BF	# MECHANICAL LEG
🧀	0x127d	U+1F9C0	# CHEESE WEDGE
🧁	0x127e	U+1F9C1	# CUPCAKE
🧂	0x127f	U+1F9C2	# SALT SHAKER
🧃	0x1280	U+1F9C3	# BEVERAGE BOX
🧄	0x1281	U+1F9C4	# GARLIC
🧅	0x1282	U+1F9C5	# ONION
🧆	0x1283	U+1F9C6	# FALAFEL
🧇	0x1284	U+1F9C7	# WAFFLE
🧈	0x1285	U+1F9C8	# BUTTER
🧉	0x1286	U+1F9C9	# MATE DRINK
🧊	0x1287	U+1F9CA	# ICE CUBE
🧋	0x1288	U+1F9CB	# BUBBLE TEA
🧌	0x1289	U+1F9CC	# TROLL
🧍	0x128a	U+1F9CD	# STANDING PERSON
🧎	0x128b	U+1F9CE	# KNEELING PERSON
🧏	0x128c	U+1F9CF	# DEAF PERSON
🧑	0x128d	U+1F9D1	# ADULT
🧒	0x128e	U+1F9D2	# CHILD
🧓	0x128f	U+1F9D3	# OLDER ADULT
🧔	0x1290	U+1F9D4	# BEARDED PERSON
🧕	0x1291	U+1F9D5	# PERSON WITH HEADSCARF
🧖	0x1292	U+1F9D6	# PERSON IN STEAMY ROOM
🧗	0x1293	U+1F9D7	# PERSON CLIMBING
🧘	0x1294	U+1F9D8	# PERSON IN LOTUS POSITION
🧙	0x1295	U+1F9D9	# MAGE
🧚	0x1296	U+1F9DA	# FAIRY
🧛	0x1297	U+1F9DB	# VAMPIRE
🧜	0x1298	U+1F9DC	# MERPERSON
🧝	0x1299	U+1F9DD	# ELF
🧞	0x129a	U+1F9DE	# GENIE
🧟	0x129b	U+1F9DF	# ZOMBIE
🧠	0x129c	U+1F9E0	# BRAIN
🧡	0x129d	U+1F9E1	# ORANGE HEART
🧢	0x129e	U+1F9E2	# BILLED CAP
🧣	0x129f	U+1F9E3	# SCARF
🧤	0x12a0	U+1F9E4	# GLOVES
🧥	0x12a1	U+1F9E5	# COAT
🧦	0x12a2	U+1F9E6	# SOCKS
🧧	0x12a3	U+1F9E7	# RED GIFT ENVELOPE
🧨	0x12a4	U+1F9E8	# FIRECRACKER
🧩	0x12a5	U+1F9E9	# JIGSAW PUZZLE PIECE
🧪	0x12a6	U+1F9EA	# TEST TUBE
🧫	0x12a7	U+1F9EB	# PETRI DISH
🧬	0x12a8	U+1F9EC	# DNA DOUBLE HELIX
🧭	0x12a9	U+1F9ED	# COMPASS
🧮	0x12aa	U+1F9EE	# ABACUS
🧯	0x12ab	U+1F9EF	# FIRE EXTINGUISHER
🧰	0x12ac	U+1F9F0	# TOOLBOX
🧱	0x12ad	U+1F9F1	# BRICK
🧲	0x12ae	U+1F9F2	# MAGNET
🧳	0x12af	U+1F9F3	# LUGGAGE
🧴	0x12b0	U+1F9F4	# LOTION BOTTLE
🧵	0x12b1	U+1F9F5	# SPOOL OF THREAD
🧶	0x12b2	U+1F9F6	# BALL OF YARN
🧷	0x12b3	U+1F9F7	# SAFETY PIN
🧸	0x12b4	U+1F9F8	# TEDDY BEAR
🧹	0x12b5	U+1F9F9	# BROOM
🧺	0x12b6	U+1F9FA	# BASKET
🧻	0x12b7	U+1F9FB	# ROLL OF PAPER
🧼	0x12b8	U+1F9FC	# BAR OF SOAP
🧽	0x12b9	U+1F9FD	# SPONGE
🧾	0x12ba	U+1F9FE	# RECEIPT
🧿	0x12bb	U+1F9FF	# NAZAR AMULET
🩰	0x12bc	U+1FA70	# BALLET SHOES
🩱	0x12bd	U+1FA71	# ONE-PIECE SWIMSUIT
🩲	0x12be	U+1FA72	# BRIEFS
🩳	0x12bf	U+1FA73	# SHORTS
🩴	0x12c0	U+1FA74	# THONG SANDAL
🩵	0x12c1	U+1FA75	# LIGHT BLUE HEART
🩶	0x12c2	U+1FA76	# GREY HEART
🩷	0x12c3	U+1FA77	# PINK HEART
🩸	0x12c4	U+1FA78	# DROP OF BLOOD
🩹	0x12c5	U+1FA79	# ADHESIVE BANDAGE
🩺	0x12c6	U+1FA7A	# STETHOSCOPE
🩻	0x12c7	U+1FA7B	# X-RAY
🩼	0x12c8	U+1FA7C	# CRUTCH
🪀	0x12c9	U+1FA80	# YO-YO
🪁	0x12ca	U+1FA81	# KITE
🪂	0x12cb	U+1FA82	# PARACHUTE
🪃	0x12cc	U+1FA83	# BOOMERANG
🪄	0x12cd	U+1FA84	# MAGIC WAND
🪅	0x12ce	U+1FA85	# PINATA
🪆	0x12cf	U+1FA86	# NESTING DOLLS
🪇	0x12d0	U+1FA87	# MARACAS
🪈	0x12d1	U+1FA88	# FLUTE
🪐	0x12d2	U+1FA90	# RINGED PLANET
🪑	0x12d3	U+1FA91	# CHAIR
🪒	0x12d4	U+1FA92	# RAZOR
🪓	0x12d5	U+1FA93	# AXE
🪔	0x12d6	U+1FA94	# DIYA LAMP
🪕	0x12d7	U+1FA95	# BANJO
🪖	0x12d8	U+1FA96	# MILITARY HELMET
🪗	0x12d9	U+1FA97	# ACCORDION
🪘	0x12da	U+1FA98	# LONG DRUM
🪙	0x12db	U+1FA99	# COIN
🪚	0x12dc	U+1FA9A	# CARPENTRY SAW
🪛	0x12dd	U+1FA9B	# SCREWDRIVER
🪜	0x12de	U+1FA9C	# LADDER
🪝	0x12df	U+1FA9D	# HOOK
🪞	0x12e0	U+1FA9E	# MIRROR
🪟	0x12e1	U+1FA9F	# WINDOW
🪠	0x12e2	U+1FAA0	# PLUNGER
🪡	0x12e3	U+1FAA1	# SEWING NEEDLE
🪢	0x12e4	U+1FAA2	# KNOT
🪣	0x12e5	U+1FAA3	# BUCKET
🪤	0x12e6	U+1FAA4	# MOUSE TRAP
🪥	0x12e7	U+1FAA5	# TOOTHBRUSH
🪦	0x12e8	U+1FAA6	# HEADSTONE
🪧	0x12e9	U+1FAA7	# PLACARD
🪨	0x12ea	U+1FAA8	# ROCK
🪩	0x12eb	U+1FAA9	# MIRROR BALL
🪪	0x12ec	U+1FAAA	# IDENTIFICATION CARD
🪫	0x12ed	U+1FAAB	# LOW BATTERY
🪬	0x12ee	U+1FAAC	# HAMSA
🪮	0x12ef	U+1FAAE	# HAIR PICK
🪰	0x12f0	U+1FAB0	# FLY
🪱	0x12f1	U+1FAB1	# WORM
🪲	0x12f2	U+1FAB2	# BEETLE
🪳	0x12f3	U+1FAB3	# COCKROACH
🪴	0x12f4	U+1FAB4	# POTTED PLANT
🪵	0x12f5	U+1FAB5	# WOOD
🪶	0x12f6	U+1FAB6	# FEATHER
🪷	0x12f7	U+1FAB7	# LOTUS
🪸	0x12f8	U+1FAB8	# CORAL
🪹	0x12f9	U+1FAB9	# EMPTY NEST
🪺	0x12fa	U+1FABA	# NEST WITH EGGS
🪻	0x12fb	U+1FABB	# HYACINTH
🪼	0x12fc	U+1FABC	# JELLYFISH
🪽	0x12fd	U+1FABD	# WING
🪿	0x12fe	U+1FABF	# GOOSE
🫀	0x12ff	U+1FAC0	# ANATOMICAL HEART
🫁	0x1301	U+1FAC1	# LUNGS
🫂	0x1302	U+1FAC2	# PEOPLE HUGGING
🫅	0x1303	U+1FAC5	# PERSON WITH CROWN
🫎	0x1304	U+1FACE	# MOOSE
🫏	0x1305	U+1FACF	# DONKEY
🫐	0x1306	U+1FAD0	# BLUEBERRIES
🫑	0x1307	U+1FAD1	# BELL PEPPER
🫒	0x1308	U+1FAD2	# OLIVE
🫓	0x1309	U+1FAD3	# FLATBREAD
🫔	0x130a	U+1FAD4	# TAMALE
🫕	0x130b	U+1FAD5	# FONDUE
🫖	0x130c	U+1FAD6	# TEAPOT
🫗	0x130d	U+1FAD7	# POURING LIQUID
🫘	0x130e	U+1FAD8	# BEANS
🫙	0x130f	U+1FAD9	# JAR
🫚	0x1310	U+1FADA	# GINGER ROOT
🫛	0x1311	U+1FADB	# PEA POD
🫠	0x1312	U+1FAE0	# MELTING FACE
🫡	0x1313	U+1FAE1	# SALUTING FACE
🫥	0x1314	U+1FAE5	# DOTTED LINE FACE
🫦	0x1315	U+1FAE6	# BITING LIP
