 	0x09	# <doublebytes>
 	0x10	# <doublebytes>
 	0x11	# <doublebytes>
 	0x12	# <doublebytes>
 	0x13	# <doublebytes>
🌜	0x097a	U+1F31C	# LAST QUARTER MOON WITH FACE
🌝	0x097b	U+1F31D	# FULL MOON WITH FACE
🌞	0x097c	U+1F31E	# SUN WITH FACE
🌟	0x097d	U+1F31F	# GLOWING STAR
🌠	0x097e	U+1F320	# SHOOTING STAR
🌡	0x097f	U+1F321	# THERMOMETER
🌤	0x0980	U+1F324	# WHITE SUN WITH SMALL CLOUD
🌥	0x0981	U+1F325	# WHITE SUN BEHIND CLOUD
🌦	0x0982	U+1F326	# WHITE SUN BEHIND CLOUD WITH RAIN
🌧	0x0983	U+1F327	# CLOUD WITH RAIN
🌨	0x0984	U+1F328	# CLOUD WITH SNOW
🌩	0x0985	U+1F329	# CLOUD WITH LIGHTNING
🌪	0x0986	U+1F32A	# CLOUD WITH TORNADO
🌫	0x0987	U+1F32B	# FOG
🌬	0x0988	U+1F32C	# WIND BLOWING FACE
🌭	0x0989	U+1F32D	# HOT DOG
🌮	0x098a	U+1F32E	# TACO
🌯	0x098b	U+1F32F	# BURRITO
🌰	0x098c	U+1F330	# CHESTNUT
🌱	0x098d	U+1F331	# SEEDLING
🌲	0x098e	U+1F332	# EVERGREEN TREE
🌳	0x098f	U+1F333	# DECIDUOUS TREE
🌴	0x0990	U+1F334	# PALM TREE
🌵	0x0991	U+1F335	# CACTUS
🌶	0x0992	U+1F336	# HOT PEPPER
🌷	0x0993	U+1F337	# TULIP
🌸	0x0994	U+1F338	# CHERRY BLOSSOM
🌹	0x0995	U+1F339	# ROSE
🌺	0x0996	U+1F33A	# HIBISCUS
🌼	0x0997	U+1F33C	# BLOSSOM
🌽	0x0998	U+1F33D	# EAR OF MAIZE
🌾	0x0999	U+1F33E	# EAR OF RICE
🌿	0x099a	U+1F33F	# HERB
🍀	0x099b	U+1F340	# FOUR LEAF CLOVER
🍁	0x099c	U+1F341	# MAPLE LEAF
🍂	0x099d	U+1F342	# FALLEN LEAF
🍃	0x099e	U+1F343	# LEAF FLUTTERING IN WIND
🍄	0x099f	U+1F344	# MUSHROOM
🍅	0x09a0	U+1F345	# TOMATO
🍆	0x09a1	U+1F346	# AUBERGINE
🍇	0x09a2	U+1F347	# GRAPES
🍈	0x09a3	U+1F348	# MELON
🍉	0x09a4	U+1F349	# WATERMELON
🍊	0x09a5	U+1F34A	# TANGERINE
🍋	0x09a6	U+1F34B	# LEMON
🍌	0x09a7	U+1F34C	# BANANA
🍍	0x09a8	U+1F34D	# PINEAPPLE
🍎	0x09a9	U+1F34E	# RED APPLE
🍏	0x09aa	U+1F34F	# GREEN APPLE
🍐	0x09ab	U+1F350	# PEAR
🍑	0x09ac	U+1F351	# PEACH
🍒	0x09ad	U+1F352	# CHERRIES
🍓	0x09ae	U+1F353	# STRAWBERRY
🍔	0x09af	U+1F354	# HAMBURGER
🍕	0x09b0	U+1F355	# SLICE OF PIZZA
